Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estonia,EST,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4160,4310,4620,5730,7500,9730,11500,13420,15200,14620,14700,16000,16900,18250,18990,18680,18410,18840,21340,23260,
Ethiopia,ETH,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,210,200,190,230,280,270,260,260,250,220,210,160,150,150,140,130,120,130,130,120,110,140,160,180,220,280,340,380,390,410,470,550,600,670,740,800,850,
European Union,EUU,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,2411.712173,3091.676072,3830.349843,4421.558256,4687.731626,5027.970987,5697.694074,7045.790841,8431.760267,8344.076773,7547.177826,6714.431058,6520.110807,6530.268204,7551.94813,9654.708602,12513.8777,13408.27758,14440.22892,15436.74662,17314.67902,17049.71387,17524.70447,18505.70185,19628.32248,19673.80264,18888.5002,18607.21489,18510.3866,17815.92111,17479.35532,19733.09536,23993.94845,27606.16991,29604.30378,31659.0182,34398.00984,34522.21838,34711.75842,35192.61711,34504.62421,34822.3157,34788.60218,33409.42482,32173.31569,31804.68797,34493.29621,35812.48311,
Fragile and conflict affected situations,FCS,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,136.6432025,157.8296618,166.9391505,184.5392452,211.6663088,287.7001206,352.9799229,409.8326897,432.6499605,455.34367,519.108919,597.9505185,662.8190394,701.82085,694.2853004,620.5686696,595.8742366,582.3828236,588.9653512,597.60487,525.0188055,639.5061983,628.7448706,632.4521226,568.7036562,532.6724149,550.3308205,577.7777876,620.680901,616.9486442,629.1336259,669.8908783,726.7687068,729.3011237,729.6839444,851.8828909,1001.018297,1196.283175,1424.301123,1732.643015,1874.409723,2041.679727,2016.373686,2306.405709,2409.305464,2504.85888,2363.964348,2167.729694,1980.700524,1973.870669,2051.858616,
Finland,FIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,1370,1470,1620,1810,1970,2060,2090,2270,2460,2690,3170,4030,5130,6320,6840,7190,7910,9540,11450,11980,11700,10840,10790,11130,13010,16480,21540,24110,26000,25100,24170,20680,20170,22030,24970,26680,25820,26040,26450,25810,25550,28720,35270,40170,42800,46160,50070,48800,49600,50150,48940,49480,49390,47150,45500,44830,48280,50010,
Fiji,FJI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,280,290,300,290,300,340,350,350,400,440,530,720,930,1120,1220,1300,1360,1660,1870,2040,1800,1580,1660,1580,1790,1770,1790,1790,1790,1790,1990,2090,2230,2460,2660,2580,2300,2360,2240,2140,2170,2420,3040,3590,3620,3820,4010,3860,3650,3770,4140,4710,5020,5100,5280,5370,5910,5800,
France,FRA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,1550,1700,1870,2030,2200,2360,2560,2820,3020,3250,3670,4690,5790,6720,7140,7810,8830,10820,13080,13190,12040,10450,9820,9770,11330,14460,18520,19490,20640,21420,23840,23580,24380,25740,27110,26930,25830,25420,24970,23840,23090,25930,31360,35870,37850,40130,43460,43930,43850,44350,43380,43780,43320,41100,39070,38330,41200,42450,
Faroe Islands,FRO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2120,2130,2200,2140,1930,1950,2050,2210,2260,2270,2380,2440,2560,2560,2570,2590,2820,2900,3070,3150,3180,3150,3490,3410,3450,3400,,
Gabon,GAB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,330,410,340,360,420,440,460,530,570,610,690,910,1700,2870,4450,4010,3090,3520,4590,5290,4840,4260,4310,3860,3840,3430,4150,4580,4820,5170,5120,4430,4130,3910,4100,4270,3940,3280,3090,3420,3610,3880,4310,5520,5740,6590,7320,7590,7850,8120,9090,9330,9330,7970,7080,6510,6830,7170,
United Kingdom,GBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,2490,2770,3200,3900,4360,4870,5010,5220,5930,7560,9530,10640,10630,9840,9250,9140,10220,12680,16130,17350,18530,19350,21440,21320,21850,21080,22790,25280,26830,28150,29230,28990,29190,32270,37780,42790,45100,47540,48560,44250,41750,41080,41690,42690,44360,44350,42950,41290,41770,42220,
Georgia,GEO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,540,510,550,670,820,870,840,790,780,840,990,1210,1520,1910,2380,2820,2950,3210,3520,4150,4530,4740,4410,4080,4040,4460,4780,
Ghana,GHA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,190,200,210,230,250,240,220,220,250,270,260,280,320,300,290,300,350,380,420,410,360,320,340,350,390,420,440,400,400,410,430,420,370,370,380,390,390,390,340,300,270,320,380,460,600,790,1150,1190,1240,1380,1530,1850,1900,1940,1820,1890,2130,2220,
Gibraltar,GIB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,390,410,420,460,490,500,500,510,510,470,450,400,360,350,340,370,360,400,470,620,670,690,680,700,700,740,760,780,820,850,930,
"Gambia, The",GMB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,110,110,110,110,120,150,180,230,230,240,260,310,380,390,340,300,290,300,300,320,300,300,310,400,520,710,690,690,700,690,660,640,620,560,440,390,470,520,640,700,810,880,890,760,760,730,650,620,620,660,720,750,
Guinea-Bissau,GNB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,120,130,150,170,150,140,160,180,150,190,200,190,190,200,160,170,180,210,220,240,240,230,220,220,240,240,160,160,210,250,300,330,380,430,440,470,510,560,580,640,630,640,640,640,650,680,750,820,
Equatorial Guinea,GNQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,130,130,130,150,170,210,250,230,260,270,380,370,270,250,360,870,700,820,770,900,1270,1190,1720,3890,8110,11600,14250,12530,9970,11540,13870,14030,13230,10850,8270,6510,6650,6460,
Greece,GRC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,620,700,790,900,1000,1090,1200,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24550,26350,28660,29330,27380,24470,23190,22430,22010,20140,18550,17910,18970,19750,
Grenada,GRD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,1150,1300,1310,1300,1280,1340,1500,1790,2200,2490,2670,2840,3040,3140,3120,3210,3310,3500,3660,3990,4310,4610,4510,4650,5290,5350,6650,6430,6830,7260,6720,6940,7060,7030,7350,7520,7780,8350,8890,9580,9840,
Greenland,GRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,1890,2440,3130,3800,4330,5140,6160,7550,9270,9100,8020,7270,6740,7060,8540,11470,15170,16970,15690,16510,17440,16600,17830,19470,20780,20540,20440,19740,20290,19390,18760,20440,25730,30920,30240,34800,,,,,,,,,,,,,
Guatemala,GTM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,260,280,280,290,290,290,310,330,350,360,390,450,540,610,690,800,920,1080,1210,1240,1170,1110,1130,1160,1070,1020,980,980,930,970,1030,1140,1230,1360,1440,1530,1610,1650,1670,1610,1620,1700,1880,2030,2190,2410,2650,2700,2780,2950,3210,3410,3570,3700,3870,4090,4390,4610,
Guam,GUM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,280,250,280,310,320,340,330,350,360,380,390,430,540,680,660,610,620,670,760,740,590,510,470,500,520,460,470,360,400,330,390,460,570,670,830,890,880,860,890,880,890,940,1030,1090,1470,2280,3860,4180,4510,4820,5280,5540,5570,5470,5600,5910,6290,6630,
High income,HIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,1509.790883,1600.814049,1721.096462,1865.311482,2032.069743,2160.008049,2366.82895,2572.752309,2724.782714,2974.684685,3408.531036,4172.32311,4882.089488,5454.593799,5791.763698,6208.514877,7076.288728,8471.873689,9784.197097,10184.14986,9692.357192,9309.537996,9665.243938,10113.27818,11383.95345,13636.28948,16589.30253,17480.54518,18282.55204,19012.83032,20659.06416,21139.48208,22198.93431,23649.64505,24784.60203,24893.08879,23987.07362,24297.0246,25307.09641,25300.63642,25145.53836,27094.22839,30909.70718,34055.32449,35759.56108,37188.02407,38789.71681,38132.5905,39164.26924,40491.63426,41841.18523,42655.63923,42849.89974,41651.24652,40746.58849,40979.69425,43811.64945,45353.52197,
"Hong Kong SAR, China",HKG,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,570,630,700,710,710,740,840,930,1060,1300,1750,2150,2450,2900,3340,3930,4700,5730,6360,6290,5890,6170,6090,7230,9080,10770,11550,12660,14320,16560,19560,21820,23570,24140,26080,25110,25800,26930,26350,25270,26340,28120,28890,30290,32070,33950,32350,33620,35690,36340,38570,40240,41180,42970,46390,50060,50800,
Honduras,HND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,180,180,190,210,220,230,250,250,260,270,280,320,360,380,410,460,610,830,1090,1090,1020,1000,1080,1160,1260,1410,1410,1270,1110,940,930,950,880,900,870,910,910,930,1020,1040,1070,1130,1210,1290,1360,1490,1620,1630,1720,1870,1970,2000,2000,2060,2120,2250,2320,2390,
Heavily indebted poor countries (HIPC),HPC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,248.3471526,262.2124399,289.9791138,332.6424402,369.6703466,391.05708,367.8677019,326.3659105,312.4418423,312.9102987,350.2619904,408.3236867,431.6586242,410.6615299,381.5647045,364.6568315,353.563555,338.6979202,306.8606037,312.1569044,319.3814827,328.06009,323.7637983,325.7066944,327.5271986,324.7469137,328.8498809,350.593645,401.8242672,453.3341391,496.8449573,562.5702038,659.8307273,719.2903614,765.3383001,794.1134555,845.4893823,898.201672,939.835942,940.1339568,916.1524291,907.8245097,942.0335589,969.2801919,
Croatia,HRV,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520,5430,5180,5210,5290,5600,6670,8520,10150,11310,12670,14250,14110,14090,14040,13440,13580,13260,12970,12380,12680,14080,14980,
Haiti,HTI,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,250,250,250,240,260,280,320,340,380,370,420,450,390,310,260,310,360,390,400,450,550,640,730,670,660,700,780,890,990,1140,1120,1230,1300,1370,1410,1390,1330,1310,1360,1330,
Hungary,HUN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3660,4030,4250,4370,4400,4410,4490,4620,4790,5290,6630,8640,10360,11230,11750,13230,13380,13260,13250,13060,13500,13560,13250,13100,13190,15020,16500,
IBRD only,IBD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,198.4107079,197.784618,202.4966482,219.8280591,237.1139859,250.9165543,270.6375023,326.7082938,400.8495128,467.0295186,478.9443649,499.1099996,542.6966423,626.3916208,719.9291061,774.5572077,761.8446834,710.4364466,704.5969074,722.8183771,764.2126877,823.4460776,868.739449,879.0273955,923.7611004,992.5275875,1045.708461,1086.767106,1134.56426,1225.819068,1342.402531,1429.234671,1385.329412,1360.248583,1411.292568,1421.305953,1441.508103,1569.198469,1825.01378,2132.090954,2480.197269,2947.922901,3485.283201,3749.581604,4189.319749,4666.337083,5288.94919,5721.923134,5911.767034,5763.48653,5658.258614,5782.710629,6215.919648,6576.180125,
IDA & IBRD total,IBT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,182.4942311,182.3326241,186.9996339,202.9772206,219.8078964,232.4251637,250.304378,298.6526686,367.7814199,429.1612281,443.5417706,461.8881007,500.7391913,577.3559464,664.0381163,718.5417668,713.2197842,671.0287187,655.2749863,665.807721,697.9375594,749.1299466,788.005632,789.8868686,823.3721427,875.1385853,916.8412817,943.1877307,975.6647528,1048.329509,1143.625356,1213.562212,1176.060282,1154.788728,1194.913002,1203.062175,1220.00007,1323.889677,1535.978799,1787.232623,2071.189529,2448.546127,2885.909755,3097.826879,3443.580317,3812.935407,4303.58347,4645.713735,4796.890582,4674.475123,4575.978476,4652.923813,4974.908212,5238.242143,
IDA total,IDA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,123.0602018,138.4229165,145.5602806,154.8524186,165.5227553,211.1157654,250.4888898,276.65533,287.7689245,306.3518954,352.1823258,409.7685197,466.9149865,498.0552166,499.9628787,441.3630453,420.2402171,414.4990214,433.9663304,448.6311841,418.6723104,407.7103596,396.9078855,396.3636709,368.0365092,345.0223927,351.9829776,372.8628817,387.0637261,384.0943349,387.0606621,396.4291194,408.5493185,424.6317874,454.3418401,524.7971036,596.1891918,676.9409222,768.1220632,895.6763003,962.574029,1030.943963,1084.260361,1190.946621,1288.693302,1364.801661,1366.308679,1330.888544,1308.512169,1350.17602,1385.442828,
IDA blend,IDB,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,104.7592061,111.7472966,115.9092028,122.3644847,127.4069009,126.7401908,134.2551203,151.0841407,180.2156813,190.5536378,201.5604588,208.3728952,268.2058977,307.0594959,358.7924342,387.9578047,414.5165216,479.0057652,562.3503119,678.1747098,787.0701613,839.2522939,702.6605714,638.7809702,581.9374169,568.9887698,581.587495,533.6216527,523.8862261,506.8333242,510.6701924,456.1876272,437.1856205,444.9176356,481.7200909,499.6523428,487.4146911,490.8498286,502.7258128,527.6011619,561.1459518,605.2814065,714.8502631,824.1903897,980.1085393,1123.789856,1314.202666,1379.808636,1453.001078,1525.008829,1703.742381,1858.324346,1992.477954,1964.858688,1844.031251,1738.435314,1733.886888,1729.452569,
Indonesia,IDN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,70,80,80,90,110,160,220,270,300,360,400,470,530,560,530,520,500,520,510,510,530,560,610,660,740,850,990,1090,1100,660,570,580,720,790,900,1080,1220,1380,1600,1940,2150,2530,3010,3580,3730,3620,3430,3400,3530,3850,4050,
IDA only,IDX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,309.4053624,296.0603164,299.6660135,324.4658212,363.5941409,379.6040474,359.525091,347.4596566,340.106583,337.0517348,323.7246518,297.9879693,304.6367259,316.9882477,329.2359568,331.2470495,333.9559257,342.043204,347.3469832,354.1205214,376.4270055,426.6125293,478.4016541,520.0887229,583.969727,678.564195,747.3509266,813.6403947,857.8276939,925.9833334,993.3083714,1037.946496,1055.106331,1066.468967,1090.055899,1158.185882,1216.943893,
Isle of Man,IMN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17050,18800,21310,21880,22480,23780,27780,34170,39590,44420,47220,62280,64940,71570,74390,82210,87850,89000,83990,78870,77900,83160,,
India,IND,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,90,100,110,110,110,110,100,110,120,120,120,140,170,190,180,190,210,220,270,290,290,280,280,290,310,350,390,390,380,350,340,320,340,370,400,410,410,440,440,450,460,520,610,710,790,910,1000,1120,1220,1360,1480,1520,1560,1600,1680,1830,2010,2120,
Not classified,INX,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,2070,2540,2990,3390,3280,3580,4120,5120,6380,6780,6390,5720,5610,5630,6370,8220,10420,11100,12560,13130,14440,14600,15480,16920,18880,20660,21440,22650,24080,24020,24830,29890,37690,44530,47910,50530,50920,46810,44880,41900,40590,43480,46320,50350,52490,53480,59640,64000,
"Iran, Islamic Rep.",IRN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,1980,2310,2100,2400,3190,3300,3110,3490,3690,3570,3030,2590,2550,,,,,1310,1580,1780,1800,1720,1760,1790,1880,2200,2520,2960,3480,4270,4970,5560,6250,6870,7130,6990,6500,5370,5500,5420,5300,,
Iraq,IRQ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,3930,3460,3050,2360,2540,2750,3050,3530,3720,3720,7050,,,,,,,,,,,,,,,,1900,2430,3540,4160,4580,4960,6300,7040,6830,5930,5620,4880,5060,5740,
Iceland,ISL,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,1540,1740,2050,2440,2980,3110,2790,2490,2610,3050,3740,4960,6690,7490,7970,9010,10860,13180,15440,16240,15100,12580,11900,11930,14250,19100,23470,24210,24810,25260,26510,26100,25660,25490,27320,28480,29280,30400,31550,30710,30930,33720,42030,50700,53610,61930,50100,41850,36250,37590,40680,46960,48230,50160,55150,60530,67890,72850,
Israel,ISR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,1320,1330,1310,1440,1470,1480,1730,1910,1980,2260,2770,3180,4270,4880,4760,4620,4830,5630,6090,6750,6620,6620,6550,6530,7110,8510,10450,10960,12170,12920,14440,14820,15720,17550,18610,18920,18760,18440,19200,19260,18600,18680,19930,21430,22320,23960,26150,27260,29660,31450,32220,34320,36020,36070,36330,37550,40860,43110,
Italy,ITA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,960,1060,1160,1280,1410,1550,1700,1850,2060,2250,2620,3250,3930,4320,4510,4730,5270,6740,8430,8710,8220,7630,7760,8030,9380,12160,15950,17300,18660,20370,22960,21590,20860,20670,21830,22300,22220,21990,21890,21170,20710,23350,28270,32430,34250,35900,37910,37870,37850,37900,36200,35550,34890,32980,31950,31360,33840,34530,
Jamaica,JAM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,620,650,720,760,980,1020,1180,1370,1370,1450,1430,1300,1210,1290,1340,1330,1130,930,950,1170,1480,1690,1770,1740,1600,1830,1870,2280,2510,2750,2880,3110,3230,3230,3250,3440,3650,3800,4090,4320,4570,4330,4390,4590,4980,5010,4910,4700,4600,4750,5010,5320,
Jordan,JOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,1160,1540,1810,2040,1980,1750,1730,1670,1870,2100,2160,1560,1270,1090,1240,1280,1340,1420,1430,1450,1480,1530,1670,1740,1780,1900,2160,2340,2510,2730,3110,3380,3520,3620,3720,3830,3920,3950,4000,4080,4270,4410,
Japan,JPN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,610,690,800,890,1030,1200,1430,1660,1830,2120,2720,3640,4430,5150,5410,5950,7450,9450,10860,11120,10550,10270,10520,11480,13850,18180,24910,27000,27810,28590,30590,33430,36980,42110,43150,40040,34450,33780,36230,36770,34790,35070,38350,40560,39930,38740,38850,38800,43440,46880,49480,48280,43950,38840,37860,38490,41150,41710,
Kazakhstan,KAZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1430,1310,1280,1340,1390,1390,1290,1270,1360,1530,1810,2300,2930,3860,4980,6150,6790,7440,8280,9940,11840,12080,11380,8770,8040,8070,8820,
Kenya,KEN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,100,100,110,100,120,120,130,140,130,160,190,200,230,250,250,280,320,390,450,450,390,340,310,310,340,370,410,400,370,350,330,270,260,270,340,390,430,430,410,400,380,400,450,510,580,700,820,900,960,990,1050,1130,1240,1290,1350,1420,1600,1750,
Kyrgyz Republic,KGZ,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,450,370,360,390,390,360,300,280,280,290,340,400,450,500,610,760,860,850,880,1040,1190,1250,1180,1110,1110,1220,1240,
Cambodia,KHM,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,320,320,290,300,300,310,320,350,400,460,520,590,670,700,750,810,880,970,1020,1060,1140,1230,1380,1530,
Kiribati,KIR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,870,860,690,660,790,780,590,540,520,550,640,670,720,960,1030,1020,1050,1150,1090,1340,1470,1300,1330,1340,1250,1310,1480,1700,1710,1820,1930,1900,2050,2090,2620,2980,3220,3470,2920,3020,3080,3350,
St. Kitts and Nevis,KNA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,1370,1670,1850,1940,2010,2240,2510,3070,3690,4390,4660,5220,5260,5710,6190,6710,7310,7690,8080,7830,8280,9120,9440,9370,9270,10390,11640,12440,13050,14850,14620,14690,15450,15470,16610,16490,16410,17080,17240,18520,19290,
"Korea, Rep.",KOR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,120,120,130,130,140,150,190,240,280,310,340,430,550,660,810,970,1280,1680,1870,2030,2050,2170,2340,2480,2850,3530,4520,5380,6450,7570,8310,9010,10090,11820,13320,13550,10330,10430,11030,11950,12850,13790,16200,18520,20800,23440,23860,22040,22290,23590,25660,26980,28160,28720,29330,30300,32730,33790,
Kuwait,KWT,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20520,20870,21480,19680,16870,17980,18660,18930,22600,28510,35220,42300,47580,51710,45000,42490,43790,49690,53060,51000,41820,35330,31400,33590,,
Latin America & Caribbean (excluding high income),LAC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,465.0437427,476.9040559,513.4810126,546.3910166,579.1915184,632.536642,698.6350854,858.3878462,1092.445726,1287.647863,1363.648964,1405.405906,1525.46477,1787.15774,2092.03542,2241.269951,2130.517139,1881.298473,1794.572055,1764.948281,1835.69482,1962.324066,2080.738677,2183.187953,2285.105519,2647.433115,2925.481051,3149.890427,3378.523858,3591.124311,3883.577171,4159.933004,4137.024718,3929.109166,4022.563337,3908.267648,3656.172357,3640.528661,3933.714845,4406.290595,5088.204495,5952.909587,6879.200272,7055.755577,7842.920907,8648.405863,9525.81421,9904.708122,9792.832595,8952.615409,8210.483384,8072.037525,8323.43979,8372.836454,
Lao PDR,LAO,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,550,430,250,210,190,210,250,280,310,350,380,370,310,290,280,310,320,340,390,460,510,620,750,890,1000,1140,1370,1610,1820,1970,2120,2240,2450,2570,
Lebanon,LBN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1310,1700,1920,2220,2610,3160,3720,4000,4250,4490,4600,4460,4200,3790,4730,4890,4860,5410,6060,6870,7470,7560,7560,7640,7550,7280,7230,7470,7720,7380,
Liberia,LBR,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,180,210,250,290,330,390,430,460,520,560,630,630,630,620,620,610,580,
Libya,LBY,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5170,5160,5140,6860,8600,10400,12200,12090,12380,4690,11550,10750,7610,5690,4550,5410,6800,7640,
St. Lucia,LCA,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,1530,1510,1660,1940,2500,2830,3330,3570,3730,3850,4400,4410,4510,4660,4850,4760,4930,5150,5250,4990,5010,5370,6000,6230,7260,7500,8090,8020,8170,8820,8860,8790,8840,8730,9440,10070,10640,11020,
Latin America & Caribbean,LCN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,489.8420498,501.4413374,537.600931,572.7314086,609.0889612,667.7395441,735.5120652,899.1847512,1135.95208,1309.093985,1374.962027,1417.360639,1547.561712,1820.343312,2140.375637,2308.020442,2186.30367,1924.247872,1834.253552,1803.595913,1876.245097,2011.281277,2135.494424,2241.667894,2342.635818,2699.097542,2989.085723,3217.951808,3451.029969,3682.090512,3987.408851,4273.281054,4253.72098,4056.75239,4152.768489,4036.582093,3784.549394,3774.156326,4093.777216,4584.407679,5278.569778,6158.717997,7100.019361,7269.077831,8053.15365,8881.602354,9795.471646,10201.69579,10093.76059,9281.504635,8552.555442,8426.151464,8720.453323,8794.060887,
Least developed countries: UN classification,LDC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,237.6849054,267.6924636,310.7918284,328.8129535,331.5992142,319.4727247,315.6953263,289.6981,276.383348,252.0705656,263.9595777,275.3677915,289.0107845,288.5627683,290.6602748,301.1265726,306.559771,317.757996,339.5361854,389.5747523,442.6980118,489.6838062,560.8843689,653.013498,720.5226469,784.8447412,828.5085642,906.7750345,975.1104245,1019.522145,1015.707701,1003.700057,1009.248887,1056.543901,1100.297177,
Low income,LIC,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,314.9892094,321.4878022,347.1157678,392.8215681,405.5092124,374.6869113,349.1068582,338.4016077,322.8847749,300.1589365,262.6079411,262.4922745,263.7121534,269.8232343,267.6792255,264.5304902,272.9733946,284.3783403,298.8734395,312.3170322,354.7766948,399.9193371,442.7651258,510.464865,593.7684955,659.0595244,716.2302425,724.1971789,768.4168054,818.3651649,856.2969154,846.3705591,826.7523485,801.7260752,800.0111151,819.7214785,
Liechtenstein,LIE,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,,,,,,,,,,,5120,6500,8210,10150,11190,12370,14760,18510,22610,22610,20320,18770,19010,19730,22860,31170,41500,43620,45480,47580,54350,56710,61990,70060,78590,80150,77640,78650,78870,68240,65060,68450,78680,92730,104070,112190,121890,116430,,,,,,,,,,,
